<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	24713.1	24839.1	24697.5	24767.1	32377	62331	0
2018.01.03	24762.6	24891.5	24749.8	24857.6	25721	52513	0
2018.01.04	24864.1	25064.5	24860.8	25046.1	31085	62918	0
2018.01.05	25048.1	25263.8	25041.1	25261.4	30612	60929	0
2018.01.08	25253.1	25338.8	25193.2	25244.4	30019	59860	0
2018.01.09	25240.1	25397.5	25220.9	25341.3	32073	65701	0
2018.01.10	25333.4	25366.3	25204.6	25340.1	45552	87539	0
2018.01.11	25330.1	25543.8	25312.9	25532.3	31204	61361	0
2018.01.12	25525.4	25795.3	25515.4	25783.3	36209	73052	0
2018.01.15	25801.1	25959.0	25800.1	25923.6	16000	27153	0
2018.01.16	25925.1	26044.5	25665.8	25822.3	71173	147096	0
2018.01.17	25812.1	26103.5	25774.1	26079.3	61258	118231	0
2018.01.18	26078.1	26130.4	25899.9	25923.6	59471	113411	0
2018.01.19	25931.1	26069.1	25859.1	26040.3	53398	100623	0
2018.01.22	25966.1	26210.1	25929.1	26181.4	37271	71584	0
2018.01.23	26186.6	26300.1	26121.3	26177.3	47477	93336	0
2018.01.24	26169.1	26372.5	26073.5	26252.1	71241	139396	0
2018.01.25	26229.1	26422.5	26195.6	26374.6	72627	138280	0
2018.01.26	26380.1	26594.1	26366.4	26570.8	46378	92504	0
2018.01.29	26573.6	26668.8	26401.3	26414.1	128375	190080	0
2018.01.30	26410.4	26463.1	25991.3	26027.4	201342	288778	0
2018.01.31	26038.3	26296.2	26011.8	26146.4	179115	252216	0
2018.02.01	26132.8	26265.0	25906.9	26127.1	197828	280314	0
2018.02.02	26178.4	26199.8	25395.1	25424.5	267170	373306	0
2018.02.05	25401.6	25460.0	23635.5	23986.4	500411	698237	0
2018.02.06	24087.8	24873.5	23042.5	24733.4	803931	1150714	0
2018.02.07	24744.8	25225.2	24488.1	24733.4	479098	693178	0
2018.02.08	24712.4	24910.4	23787.5	23961.1	575511	824579	0
2018.02.09	23974.8	24336.8	23312.2	24177.3	664972	970052	0
2018.02.12	24231.4	24724.5	24205.6	24554.9	363765	524876	0
2018.02.13	24559.3	24664.0	24360.8	24622.1	293134	411354	0
2018.02.14	24624.8	24887.5	24268.7	24833.3	359011	498798	0
2018.02.15	24838.6	25239.9	24784.0	25223.3	274107	372374	0
2018.02.16	25219.3	25414.7	25103.3	25224.3	248362	338570	0
2018.02.19	25226.4	25331.6	25045.8	25160.6	52991	74014	0
2018.02.20	25174.1	25213.9	24856.7	24946.8	285754	394265	0
2018.02.21	24944.8	25249.7	24716.8	24765.8	282148	404897	0
2018.02.22	24768.3	25130.5	24569.4	25023.8	277671	398096	0
2018.02.23	25018.9	25316.8	24988.8	25288.4	224707	307366	0
