<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	22715.3	22915.2	22635.4	22820.4	6117	0	0
2018.01.03	22790.5	23225.4	22780.5	23170.4	5114	0	0
2018.01.04	23185.4	23685.3	23094.3	23655.4	8769	0	0
2018.01.05	23665.4	23835.5	23529.1	23795.5	8697	0	0
2018.01.08	23830.9	23976.0	23810.9	23951.0	4810	0	0
2018.01.09	23951.0	24011.0	23774.9	23816.3	9539	0	0
2018.01.10	23816.3	23861.3	23561.5	23627.9	12539	0	0
2018.01.11	23626.6	23811.7	23601.6	23786.7	10271	0	0
2018.01.12	23786.7	23841.9	23576.8	23841.9	12097	0	0
2018.01.15	23842.3	23865.9	23677.3	23702.5	6997	0	0
2018.01.16	23732.5	23997.5	23642.7	23737.7	14859	0	0
2018.01.17	23757.7	24127.7	23682.7	24062.7	12814	0	0
2018.01.18	24068.9	24127.7	23693.0	23818.0	16788	0	0
2018.01.19	23790.6	23898.1	23722.0	23858.2	13126	0	0
2018.01.22	23781.1	23963.8	23677.4	23963.8	8993	0	0
2018.01.23	23946.3	24183.8	23913.8	24018.9	14074	0	0
2018.01.24	23996.5	24064.0	23604.3	23755.6	18450	0	0
2018.01.25	23741.7	23824.2	23454.5	23648.1	22518	0	0
2018.01.26	23672.0	23788.1	23544.6	23714.6	18014	0	0
2018.01.29	23751.2	23785.0	23479.0	23546.5	22807	0	0
2018.01.30	23536.4	23599.0	23099.3	23195.6	31701	0	0
2018.01.31	23184.2	23370.6	23079.4	23262.0	31048	0	0
2018.02.01	23274.4	23495.8	23227.1	23318.2	30589	0	0
2018.02.02	23367.1	23377.1	22936.2	22945.0	38594	0	0
2018.02.05	22967.8	22970.4	21284.7	21568.5	58968	0	0
2018.02.06	21607.8	22300.9	21056.1	22218.5	138377	0	0
2018.02.07	22243.4	22351.7	21466.2	21776.1	76574	0	0
2018.02.08	21773.6	22012.5	21092.8	21176.5	86333	0	0
2018.02.09	21166.6	21574.0	20554.2	21254.2	96471	0	0
2018.02.12	21293.0	21722.1	21267.0	21647.0	46759	0	0
2018.02.13	21637.0	21722.0	20922.3	21212.3	53148	0	0
