<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	6386.6	6504.6	6379.1	6497.1	39306	84633	0
2018.01.03	6493.9	6574.5	6493.1	6565.8	34619	79299	0
2018.01.04	6568.1	6600.7	6563.6	6589.7	43983	98646	0
2018.01.05	6590.4	6652.5	6583.3	6649.5	36705	79126	0
2018.01.08	6649.9	6674.0	6636.8	6672.5	34337	81431	0
2018.01.09	6671.9	6690.6	6650.7	6663.3	42646	103811	0
2018.01.10	6662.2	6670.1	6611.9	6659.6	69199	148726	0
2018.01.11	6657.9	6712.6	6647.2	6708.4	43425	94462	0
2018.01.12	6706.4	6761.4	6687.8	6755.9	49425	109674	0
2018.01.15	6766.2	6782.4	6757.1	6765.0	17876	32513	0
2018.01.16	6764.0	6830.3	6713.9	6746.8	102467	232892	0
2018.01.17	6746.1	6819.1	6728.8	6804.3	87243	191667	0
2018.01.18	6804.6	6822.9	6780.7	6800.5	82692	179670	0
2018.01.19	6800.9	6841.2	6785.6	6833.7	71471	150487	0
2018.01.22	6814.5	6925.4	6808.1	6917.6	51795	110596	0
2018.01.23	6915.1	6965.9	6903.9	6943.4	73366	157501	0
2018.01.24	6939.2	6988.6	6873.2	6919.2	128232	287202	0
2018.01.25	6914.4	6971.4	6886.8	6922.3	114743	250420	0
2018.01.26	6922.4	7018.4	6918.2	7014.6	72390	150694	0
2018.01.29	7014.4	7031.1	6964.7	6978.8	185958	277218	0
2018.01.30	6979.6	6990.4	6887.5	6924.2	306700	465074	0
2018.01.31	6926.2	6976.6	6906.7	6916.1	235819	351564	0
2018.02.01	6964.2	6972.8	6870.3	6923.3	274226	419472	0
2018.02.02	6938.7	6948.1	6737.1	6737.8	418209	630944	0
2018.02.05	6743.3	6799.4	6372.5	6439.2	636996	960363	0
2018.02.06	6454.7	6663.2	6244.9	6622.6	845832	1326733	0
2018.02.07	6636.0	6705.6	6518.6	6535.2	503467	751648	0
2018.02.08	6534.7	6605.3	6288.7	6315.8	495066	753866	0
2018.02.09	6315.8	6444.2	6152.8	6413.8	645227	1007977	0
2018.02.12	6422.7	6558.6	6402.1	6517.6	396089	605429	0
2018.02.13	6517.3	6561.9	6461.1	6550.6	379083	552679	0
2018.02.14	6550.6	6683.9	6445.5	6672.2	429143	639422	0
2018.02.15	6672.0	6820.9	6664.1	6812.5	359191	515482	0
2018.02.16	6810.9	6853.0	6758.8	6777.7	338409	493034	0
2018.02.19	6783.9	6815.2	6755.1	6776.9	58021	84055	0
2018.02.20	6780.2	6840.4	6719.3	6788.7	316866	450326	0
2018.02.21	6784.9	6882.4	6737.5	6747.9	314177	456889	0
2018.02.22	6749.1	6828.7	6691.3	6792.5	328324	474485	0
2018.02.23	6790.1	6909.9	6779.2	6898.9	224952	315681	0
2018.02.26	6920.3	7004.0	6886.5	7000.5	218889	301550	0
2018.02.27	7000.4	7005.7	6900.2	6908.9	393142	579687	0
2018.02.28	6911.9	6968.6	6855.4	6878.5	358920	521091	0
2018.03.01	6878.6	6896.8	6687.5	6762.8	670727	1024715	0
2018.03.02	6764.3	6822.3	6644.8	6806.6	613574	900258	0
2018.03.05	6792.2	6903.4	6740.5	6878.4	425344	609417	0
2018.03.06	6879.0	6938.3	6870.8	6907.4	371646	515985	0
2018.03.07	6848.5	6935.9	6796.5	6919.2	401320	582318	0
2018.03.08	6921.3	6975.4	6911.9	6971.2	276186	382148	0
2018.03.09	6966.5	7102.3	6961.0	7095.4	166468	213800	0
2018.03.12	7090.1	7158.3	7090.1	7133.4	37310	209023	0
2018.03.13	7133.1	7187.8	7025.0	7045.0	45871	349230	0
2018.03.14	7031.8	7096.4	7011.4	7032.4	54617	524539	0
2018.03.15	7035.4	7074.9	7001.2	7049.4	46962	347407	0
2018.03.16	7047.4	7059.4	7007.8	7018.6	39029	256280	0
2018.03.19	7014.1	7015.9	6795.8	6888.8	59063	560111	0
2018.03.20	6883.4	6901.8	6837.8	6891.4	51018	410194	0
2018.03.21	6888.7	6925.6	6816.8	6857.2	48321	465990	0
2018.03.22	6858.7	6889.9	6660.9	6669.4	71972	804589	0
